co_ref,total_cc_calls,last_cc_call,cutoff_date,days_since_last_cc_call,cc_calls_last_7,cc_calls_last_30,total_complaints,customer_issues,financial_issues,pricing_mentions,avg_cc_sentiment,repeat_call_ratio,high_call_volume
BD1075,3,2024-04-11,2024-09-17,159,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BD2509,2,2024-06-11,2025-08-25,440,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BD2509,2,2024-06-11,2024-08-25,75,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BD2744,1,2025-01-12,2025-01-27,15,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BE7088,4,2025-11-11,2025-06-19,-145,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1
BE7088,4,2025-11-11,2026-06-19,220,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1
BE7088,4,2025-11-11,2024-06-19,-510,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1
BF7992,2,2024-11-11,2025-01-26,76,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0
BF9277,1,2025-02-04,2025-11-27,296,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BG3242,2,2024-10-12,2025-11-25,409,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0
BG3242,2,2024-10-12,2024-11-25,44,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0
BG3995,1,2024-06-11,2025-02-25,259,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BH3490,5,2025-12-11,2026-07-19,220,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,1
BH3490,5,2025-12-11,2025-07-19,-145,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,1
BH4811,2,2025-02-01,2025-03-19,46,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BH4811,2,2025-02-01,2026-03-19,411,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BI5690,1,2025-10-03,2025-10-27,24,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BJ1330,5,2025-06-10,2025-06-17,7,1.0,1.0,0.0,0.0,0.0,0.0,54.0,0.16666666666666666,1
